#LINK,,,,
#lang,ja,,,
#attribution_url,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,,,
#attribution_name,越前市情報統計課,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,
#file_name,0207jinkoushuchuchiku,,,
#download_from,http://linkdata.org/work/rdf1s2642i,,,
#property,年次,人口(人),面積(ｋ㎡),人口密度(人/ｋ㎡)
#object_type_xsd,string:ja,int,float,float
#property_context,	Assertion,	Assertion,	Assertion,	Assertion
1,昭和40年,27175,2.8,9705
2,昭和45年,25600,3,8533.333333333334
3,昭和50年,26251,4.3,6104.883720930233
4,昭和55年,24128,4.4,5483.636363636363
5,昭和60年,22993,4.8,4790.208333333334
6,平成2年,25055,5.3,4727.358490566038
7,平成7年,27402,6,4597
8,平成12年,27731,6.3,4395
9,平成17年,26786,6.4,4185.3
10,平成22年,26897,6.72,4002.5
