#LINK,,
#lang,ja,
#attribution_url,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,
#attribution_name,越前市情報統計課,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,
#file_name,echizenshigikaiiinippansenkyo,
#download_from,http://linkdata.org/work/rdf1s1670i,
#property,得票数,備考
#object_type_xsd,string,string:ja
#property_context,	Assertion,	Assertion
吉田けいぞう,2899,当選
清水かずあき,2774,当選
ささき富基,2715.396,当選
中西しんぞう,2374,当選
佐々木てつお,2343.603,当選
しも実男,2279,当選
三田村てるし,2269,当選
大久保けんいち,2086,当選
おがた善信,1683,当選
きどしげお,1610,当選
前田かずひろ,1536.303,当選
安立さとみ,1508,当選
かたかす正二郎,1499,当選
にしの与五郎,1378,当選
川崎さとし,1330.649,当選
いとう康司,1298,当選
かとう吉則,1285,当選
よしむら美幸,1280,当選
川﨑としゆき,1260.35,当選
こだま俊一,1231,当選
福田ゆきよ,1187,当選
前田修治,1105.696,当選
坂永秀和,870,次点
佐藤かよこ,564,
